,indice,Address,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,DISTRICT,HOUSENUM,ROADNAME,POBOX,ZIPCODE,CITY,COUNTRY,Address2,INBUILDINGK,EXTBUILDINGK,POILOGISTICK,ZONEK,DISTRICTK,HOUSENUMK,ROADNAMEK,POBOXK,ZIPCODEK,CITYK,COUNTRYK,NewLabel,Pattern_Add1
4154,5722,ESPLANADE CHARLES DE GAULLE 33000 BORDEAUX FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ESPLANADE CHARLES DE GAULLE,NONE,33000.0,BORDEAUX,FRANCE,33000 BORDEAUX FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,33000.0,BORDEAUX,FRANCE,PartialMatch,EB RN C
4155,7469,AVENUE DU PARC AUX BICHES 91000 EVRY-COURCOURONNES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DU PARC AUX BICHES,NONE,91000.0,EVRY-COURCOURONNES,FRANCE,91000 EVRY-COURCOURONNES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,91000.0,EVRY-COURCOURONNES,FRANCE,PartialMatch,EB RN C
4156,6755,PROMENADE DES ANGLAIS 6200 NICE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,PROMENADE DES ANGLAIS,NONE,6200.0,NICE,FRANCE,6200 NICE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,6200.0,NICE,FRANCE,PartialMatch,EB RN C
4157,5401,RUE LOUIS GAIN 49100 ANGERS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE LOUIS GAIN,NONE,49100.0,ANGERS,FRANCE,49100 ANGERS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,49100.0,ANGERS,FRANCE,PartialMatch,EB RN C
4158,4149,COURS GAMBETTA 65000 TARBES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,COURS GAMBETTA,NONE,65000.0,TARBES,FRANCE,65000 TARBES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,65000.0,TARBES,FRANCE,PartialMatch,EB RN C
4159,8115,AVENUE MARECHAL MONCEY 20090 AJACCIO FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE MARECHAL MONCEY,NONE,20090.0,AJACCIO,FRANCE,20090 AJACCIO FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,20090.0,AJACCIO,FRANCE,PartialMatch,EB RN C
4160,5832,PLACE PIERRE SEMARD 38200 VIENNE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,PLACE PIERRE SEMARD,NONE,38200.0,VIENNE,FRANCE,38200 VIENNE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,38200.0,VIENNE,FRANCE,PartialMatch,EB RN C
4161,8050,RUE DU CHEMIN VERT 95330 DOMONT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DU CHEMIN VERT,NONE,95330.0,DOMONT,FRANCE,95330 DOMONT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,95330.0,DOMONT,FRANCE,PartialMatch,EB RN C
4162,4183,AVENUE JOSEPH CALIZI 20220 L'ILE ROUSSE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE JOSEPH CALIZI,NONE,20220.0,L'ILE ROUSSE,FRANCE,20220 L'ILE ROUSSE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,20220.0,L'ILE ROUSSE,FRANCE,PartialMatch,EB RN C
4163,5835,PLACE FELIX PIZZORNE 83120 LE PLAN DE LA TOUR FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,PLACE FELIX PIZZORNE,NONE,83120.0,LE PLAN DE LA TOUR,FRANCE,83120 LE PLAN DE LA TOUR FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,83120.0,LE PLAN DE LA TOUR,FRANCE,PartialMatch,EB RN C
4164,7222,LIEU DIT MORNE VERGAIN 97139 LES ABYMES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT MORNE VERGAIN,NONE,97139.0,LES ABYMES,FRANCE,97139 LES ABYMES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,97139.0,LES ABYMES,FRANCE,PartialMatch,EB RN C
4165,6703,RUE DE BELLEVUE 72000 LE MANS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DE BELLEVUE,NONE,72000.0,LE MANS,FRANCE,72000 LE MANS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,72000.0,LE MANS,FRANCE,PartialMatch,EB RN C
4166,7072,PLACE CENTRALE ROGER REMOND 21800 QUETIGNY FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,PLACE CENTRALE ROGER REMOND,NONE,21800.0,QUETIGNY,FRANCE,21800 QUETIGNY FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,21800.0,QUETIGNY,FRANCE,PartialMatch,EB RN C
4167,8294,7 RUE COURS ARLON 18000 BOURGES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,7 RUE COURS ARLON,NONE,18000.0,BOURGES,FRANCE,18000 BOURGES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,18000.0,BOURGES,FRANCE,PartialMatch,EB RN C
4168,5077,RUE DES GRANDS CHAMPS 93470 COUBRON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES GRANDS CHAMPS,NONE,93470.0,COUBRON,FRANCE,93470 COUBRON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,93470.0,COUBRON,FRANCE,PartialMatch,EB RN C
4169,5727,6 RUE DU CLOS DES PARTS 76190 YVETOT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,6 RUE DU CLOS DES PARTS,NONE,76190.0,YVETOT,FRANCE,76190 YVETOT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,76190.0,YVETOT,FRANCE,PartialMatch,EB RN C
4170,4930,AVENUE FREDERIC MISTRAL 34110 FRONTIGNAN FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE FREDERIC MISTRAL,NONE,34110.0,FRONTIGNAN,FRANCE,34110 FRONTIGNAN FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,34110.0,FRONTIGNAN,FRANCE,PartialMatch,EB RN C
4171,7978,AVENUE JEAN JAURES 92700 COLOMBES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE JEAN JAURES,NONE,92700.0,COLOMBES,FRANCE,92700 COLOMBES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,92700.0,COLOMBES,FRANCE,PartialMatch,EB RN C
4172,6172,RUE CHARLES HERMITE 57400 SARREBOURG FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE CHARLES HERMITE,NONE,57400.0,SARREBOURG,FRANCE,57400 SARREBOURG FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,57400.0,SARREBOURG,FRANCE,PartialMatch,EB RN C
4173,5799,43 RUE SCHNAPPER 78100 SAINT-GERMAIN-EN-LAYE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,43 RUE SCHNAPPER,NONE,78100.0,SAINT-GERMAIN-EN-LAYE,FRANCE,78100 SAINT-GERMAIN-EN-LAYE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,78100.0,SAINT-GERMAIN-EN-LAYE,FRANCE,PartialMatch,EB RN C
4174,5712,AVENUE RENE MONORY 86360 CHASSENEUIL-DU-POITOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE RENE MONORY,NONE,86360.0,CHASSENEUIL-DU-POITOU,FRANCE,86360 CHASSENEUIL-DU-POITOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,86360.0,CHASSENEUIL-DU-POITOU,FRANCE,PartialMatch,EB RN C
4175,7902,AVENUE DE LA CAMPAGNE BERGER 13009 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DE LA CAMPAGNE BERGER,NONE,13009.0,MARSEILLE,FRANCE,13009 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,13009.0,MARSEILLE,FRANCE,PartialMatch,EB RN C
4176,4588,ROUTE DE CARRIERES S SEINE 78400 CHATOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE CARRIERES S SEINE,NONE,78400.0,CHATOU,FRANCE,78400 CHATOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,78400.0,CHATOU,FRANCE,PartialMatch,EB RN C
4177,4320,CHEMIN DES CAMPINGS 32170 MARSEILLAN FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN DES CAMPINGS,NONE,32170.0,MARSEILLAN,FRANCE,32170 MARSEILLAN FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,32170.0,MARSEILLAN,FRANCE,PartialMatch,EB RN C
4178,7091,RUE PARATOJO 20200 BASTIA FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE PARATOJO,NONE,20200.0,BASTIA,FRANCE,20200 BASTIA FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,20200.0,BASTIA,FRANCE,PartialMatch,EB RN C
4179,5878,RUE 455 PRO DES ANGLAIS 6200 NICE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE 455 PRO DES ANGLAIS,NONE,6200.0,NICE,FRANCE,6200 NICE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,6200.0,NICE,FRANCE,PartialMatch,EB RN C
4180,7262,RUE DES CORDELIERS 4200 SISTERON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES CORDELIERS,NONE,4200.0,SISTERON,FRANCE,4200 SISTERON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,4200.0,SISTERON,FRANCE,PartialMatch,EB RN C
4181,4263,RUE LOUIS AUGIAS 83260 LA CRAU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE LOUIS AUGIAS,NONE,83260.0,LA CRAU,FRANCE,83260 LA CRAU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,83260.0,LA CRAU,FRANCE,PartialMatch,EB RN C
4182,4401,RUE AUGUSTE DAIX 2380 FRESNES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE AUGUSTE DAIX,NONE,2380.0,FRESNES,FRANCE,2380 FRESNES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,2380.0,FRESNES,FRANCE,PartialMatch,EB RN C
4183,4513,QUAI DE LA MONNAIE 33800 BORDEAUX FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,QUAI DE LA MONNAIE,NONE,33800.0,BORDEAUX,FRANCE,33800 BORDEAUX FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,33800.0,BORDEAUX,FRANCE,PartialMatch,EB RN C
4184,7724,AVENUE DU GENERAL DE GAULLE 98880 LA FOA FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DU GENERAL DE GAULLE,NONE,98880.0,LA FOA,FRANCE,98880 LA FOA FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,98880.0,LA FOA,FRANCE,PartialMatch,EB RN C
4185,4497,LIEU DIT LES 7 CHAPELLES 20000 AJACCIO FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT LES 7 CHAPELLES,NONE,20000.0,AJACCIO,FRANCE,20000 AJACCIO FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,20000.0,AJACCIO,FRANCE,PartialMatch,EB RN C
4186,7682,RUE DU MARCHE 60170 BAILLY FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DU MARCHE,NONE,60170.0,BAILLY,FRANCE,60170 BAILLY FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,60170.0,BAILLY,FRANCE,PartialMatch,EB RN C
4187,8631,BOULEVARD DE VAURANNE 13800 ISTRES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,BOULEVARD DE VAURANNE,NONE,13800.0,ISTRES,FRANCE,13800 ISTRES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,13800.0,ISTRES,FRANCE,PartialMatch,EB RN C
4188,4866,PLACE DE L ISTHME 50400 GRANVILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,PLACE DE L ISTHME,NONE,50400.0,GRANVILLE,FRANCE,50400 GRANVILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,50400.0,GRANVILLE,FRANCE,PartialMatch,EB RN C
4189,6580,RUE DES JOHNIES 29680 ROSCOFF FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES JOHNIES,NONE,29680.0,ROSCOFF,FRANCE,29680 ROSCOFF FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,29680.0,ROSCOFF,FRANCE,PartialMatch,EB RN C
4190,6393,5 RUE DES DEUX COMMUNES 28500 MONTREUIL FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,5 RUE DES DEUX COMMUNES,NONE,28500.0,MONTREUIL,FRANCE,28500 MONTREUIL FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,28500.0,MONTREUIL,FRANCE,PartialMatch,EB RN C
4191,7647,RD 91940 LES ULIS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RD,NONE,91940.0,LES ULIS,FRANCE,91940 LES ULIS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,91940.0,LES ULIS,FRANCE,PartialMatch,EB RN C
4192,6422,AVENUE DU GENERAL DE GAULLE 94000 CRETEIL FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DU GENERAL DE GAULLE,NONE,94000.0,CRETEIL,FRANCE,94000 CRETEIL FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,94000.0,CRETEIL,FRANCE,PartialMatch,EB RN C
4193,4684,AVENUE DE LA MARNE 14390 CABOURG FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DE LA MARNE,NONE,14390.0,CABOURG,FRANCE,14390 CABOURG FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,14390.0,CABOURG,FRANCE,PartialMatch,EB RN C
4194,5511,ROUTE DE POSTE 38750 HUEZ FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE POSTE,NONE,38750.0,HUEZ,FRANCE,38750 HUEZ FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,38750.0,HUEZ,FRANCE,PartialMatch,EB RN C
4195,5512,RUE ARISTIDE BRIAND 73570 BRIDES-LES-BAINS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE ARISTIDE BRIAND,NONE,73570.0,BRIDES-LES-BAINS,FRANCE,73570 BRIDES-LES-BAINS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,73570.0,BRIDES-LES-BAINS,FRANCE,PartialMatch,EB RN C
4196,7385,RUE DE BEL AIR 41000 BLOIS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DE BEL AIR,NONE,41000.0,BLOIS,FRANCE,41000 BLOIS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,41000.0,BLOIS,FRANCE,PartialMatch,EB RN C
4197,4288,BOULEVARD LANTIVY 20000 AJACCIO FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,BOULEVARD LANTIVY,NONE,20000.0,AJACCIO,FRANCE,20000 AJACCIO FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,20000.0,AJACCIO,FRANCE,PartialMatch,EB RN C
4198,7512,CHEMIN DU MOULIN 62140 GRIGNY FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN DU MOULIN,NONE,62140.0,GRIGNY,FRANCE,62140 GRIGNY FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,62140.0,GRIGNY,FRANCE,PartialMatch,EB RN C
4199,7296,BOULEVARD D ALSACE LORRAINE 64000 PAU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,BOULEVARD D ALSACE LORRAINE,NONE,64000.0,PAU,FRANCE,64000 PAU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,64000.0,PAU,FRANCE,PartialMatch,EB RN C
4200,5742,ALLEES 35 COURS ALSACE LORRAINE 47190 AIGUILLON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ALLEES 35 COURS ALSACE LORRAINE,NONE,47190.0,AIGUILLON,FRANCE,47190 AIGUILLON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,47190.0,AIGUILLON,FRANCE,PartialMatch,EB RN C
4201,6360,QUAI PASCAL PAOLI 20137 PORTO-VECCHIO FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,QUAI PASCAL PAOLI,NONE,20137.0,PORTO-VECCHIO,FRANCE,20137 PORTO-VECCHIO FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,20137.0,PORTO-VECCHIO,FRANCE,PartialMatch,EB RN C
4202,5965,RUE DU LYS 64140 BILLERE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DU LYS,NONE,64140.0,BILLERE,FRANCE,64140 BILLERE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,64140.0,BILLERE,FRANCE,PartialMatch,EB RN C
4203,4970,SQUARE GEORGE SAND 78190 TRAPPES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,SQUARE GEORGE SAND,NONE,78190.0,TRAPPES,FRANCE,78190 TRAPPES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,78190.0,TRAPPES,FRANCE,PartialMatch,EB RN C
4204,5744,LIEU DIT REVINEO 20290 BORGO FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT REVINEO,NONE,20290.0,BORGO,FRANCE,20290 BORGO FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,20290.0,BORGO,FRANCE,PartialMatch,EB RN C
4205,5195,RUE DU LYCEE 97600 MAMOUDZOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DU LYCEE,NONE,97600.0,MAMOUDZOU,FRANCE,97600 MAMOUDZOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,97600.0,MAMOUDZOU,FRANCE,PartialMatch,EB RN C
4206,7623,RUE DE LA BOETIE 33000 BORDEAUX FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DE LA BOETIE,NONE,33000.0,BORDEAUX,FRANCE,33000 BORDEAUX FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,33000.0,BORDEAUX,FRANCE,PartialMatch,EB RN C
4207,5685,RUE EMILE ZOLA 30600 VAUVERT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE EMILE ZOLA,NONE,30600.0,VAUVERT,FRANCE,30600 VAUVERT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,30600.0,VAUVERT,FRANCE,PartialMatch,EB RN C
4208,6215,RUE DU 19 MARS 66350 TOULOUGES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DU 19 MARS,NONE,66350.0,TOULOUGES,FRANCE,66350 TOULOUGES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,66350.0,TOULOUGES,FRANCE,PartialMatch,EB RN C
4209,7768,AVENUE PHILIPPE DE GIRARD 84160 CADENET FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE PHILIPPE DE GIRARD,NONE,84160.0,CADENET,FRANCE,84160 CADENET FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,84160.0,CADENET,FRANCE,PartialMatch,EB RN C
4210,5124,BOULEVARD CLEMENCEAU 22700 PERROS-GUIREC FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,BOULEVARD CLEMENCEAU,NONE,22700.0,PERROS-GUIREC,FRANCE,22700 PERROS-GUIREC FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,22700.0,PERROS-GUIREC,FRANCE,PartialMatch,EB RN C
4211,4615,RUE MARIAZE 97600 MAMOUDZOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE MARIAZE,NONE,97600.0,MAMOUDZOU,FRANCE,97600 MAMOUDZOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,97600.0,MAMOUDZOU,FRANCE,PartialMatch,EB RN C
4212,6882,QUAI ALSACE LORRAINE 13500 MARTIGUES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,QUAI ALSACE LORRAINE,NONE,13500.0,MARTIGUES,FRANCE,13500 MARTIGUES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,13500.0,MARTIGUES,FRANCE,PartialMatch,EB RN C
4213,8528,ROUTE DE VAHIBE 97600 MAMOUDZOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE VAHIBE,NONE,97600.0,MAMOUDZOU,FRANCE,97600 MAMOUDZOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,97600.0,MAMOUDZOU,FRANCE,PartialMatch,EB RN C
4214,8540,RUE AMPERE 95300 PONTOISE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE AMPERE,NONE,95300.0,PONTOISE,FRANCE,95300 PONTOISE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,95300.0,PONTOISE,FRANCE,PartialMatch,EB RN C
4215,8547,RUE MOLIERE 42160 ANDREZIEUX-BOUTHEON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE MOLIERE,NONE,42160.0,ANDREZIEUX-BOUTHEON,FRANCE,42160 ANDREZIEUX-BOUTHEON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,42160.0,ANDREZIEUX-BOUTHEON,FRANCE,PartialMatch,EB RN C
4216,6213,ALLEE LUCIEN COUPAYE 91560 CROSNE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ALLEE LUCIEN COUPAYE,NONE,91560.0,CROSNE,FRANCE,91560 CROSNE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,91560.0,CROSNE,FRANCE,PartialMatch,EB RN C
4217,8556,RUE DE L ABREUVOIR DOTHEMARE 97139 LES ABYMES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DE L ABREUVOIR DOTHEMARE,NONE,97139.0,LES ABYMES,FRANCE,97139 LES ABYMES FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,97139.0,LES ABYMES,FRANCE,PartialMatch,EB RN C
4218,6065,ROUTE DU PECQ LE MESNIL-LE-ROI 78600 LE MESNIL LE ROI FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DU PECQ LE MESNIL-LE-ROI,NONE,78600.0,LE MESNIL LE ROI,FRANCE,78600 LE MESNIL LE ROI FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,78600.0,LE MESNIL LE ROI,FRANCE,PartialMatch,EB RN C
4219,6911,CHEMIN DES MAURINES 4800 GREOUX-LES-BAINS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN DES MAURINES,NONE,4800.0,GREOUX-LES-BAINS,FRANCE,4800 GREOUX-LES-BAINS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,4800.0,GREOUX-LES-BAINS,FRANCE,PartialMatch,EB RN C
4220,7378,NUMERO 41 RUE MARTINE CAROL 6520 GRASSE FRANCE,NUMERO 41,NONE,NONE,NONE,NONE,NONE,RUE MARTINE CAROL,NONE,6520.0,GRASSE,FRANCE,NUMERO 41 6520 GRASSE FRANCE,NUMERO 41,NONE,NONE,NONE,NONE,NONE,NONE,NONE,6520.0,GRASSE,FRANCE,PartialMatch,EB RN C
4221,5610,RUE CADET DE VAUX 54830 FRANCONVILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE CADET DE VAUX,NONE,54830.0,FRANCONVILLE,FRANCE,54830 FRANCONVILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,54830.0,FRANCONVILLE,FRANCE,PartialMatch,EB RN C
4222,6923,RUE DES LONGUES RAIES 54830 FRANCONVILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES LONGUES RAIES,NONE,54830.0,FRANCONVILLE,FRANCE,54830 FRANCONVILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,54830.0,FRANCONVILLE,FRANCE,PartialMatch,EB RN C
4223,6924,LIEU DIT COURCHEVEL I 85 O 73120 COURCHEVEL FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT COURCHEVEL I 85 O,NONE,73120.0,COURCHEVEL,FRANCE,73120 COURCHEVEL FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,73120.0,COURCHEVEL,FRANCE,PartialMatch,EB RN C
4224,5018,RUE CHARLES GOUNOD 91560 CROSNE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE CHARLES GOUNOD,NONE,91560.0,CROSNE,FRANCE,91560 CROSNE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,91560.0,CROSNE,FRANCE,PartialMatch,EB RN C
4225,5008,AVENUE PRESIDENT KENNEDY 13700 MARIGNANE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE PRESIDENT KENNEDY,NONE,13700.0,MARIGNANE,FRANCE,13700 MARIGNANE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,13700.0,MARIGNANE,FRANCE,PartialMatch,EB RN C
4226,6323,RUE DU STADE CAVANI 97600 MAMOUDZOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DU STADE CAVANI,NONE,97600.0,MAMOUDZOU,FRANCE,97600 MAMOUDZOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,97600.0,MAMOUDZOU,FRANCE,PartialMatch,EB RN C
4227,7756,AVENUE BORDEAUX 33340 LESPARRE-MEDOC FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE BORDEAUX,NONE,33340.0,LESPARRE-MEDOC,FRANCE,33340 LESPARRE-MEDOC FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,33340.0,LESPARRE-MEDOC,FRANCE,PartialMatch,EB RN C
4228,8594,CHEMIN DE CHOISEL 50400 GRANVILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN DE CHOISEL,NONE,50400.0,GRANVILLE,FRANCE,50400 GRANVILLE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,50400.0,GRANVILLE,FRANCE,PartialMatch,EB RN C
4229,5115,AVENUE GEORGES CLEMENCEAU 83310 COGOLIN FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE GEORGES CLEMENCEAU,NONE,83310.0,COGOLIN,FRANCE,83310 COGOLIN FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,83310.0,COGOLIN,FRANCE,PartialMatch,EB RN C
