companyI,AddI,CompanyK,AddK,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,DISTRICT,HOUSENUM,ROADNAME,POBOX,ZIPCODE,CITY,COUNTRY,INBUILDINGK,EXTBUILDINGK,POILOGISTICK,ZONEK,DISTRICTK,HOUSENUMK,ROADNAMEK,POBOXK,ZIPCODEK,CITYK,COUNTRYK,NewLabel
ZIEGLER FRANCE 10,10 Rue Antoine Lumire 10600 LA CHAPELLE ST LUC France,ZIEGLER FRANCE SA ZIEGLER FRANCE S A,6 RUE ANTOINE LUMIERE 10600 LA CHAPELLE SAINT LUC France,NONE,NONE,NONE,NONE,NONE,10,RUE ANTOINE LUMIERE,NONE,10600,LA CHAPELLE,FRANCE,NONE,NONE,NONE,NONE,NONE,6,RUE ANTOINE LUMIERE,NONE,10600,LA CHAPELLE,FRANCE,PartialMatch
TRANSPORTS VALLE DU GIROU,88 Route des Platanes - Lagravette 31330 MERVILLE France,TRANSPORTS VALLEE DU GIROU,1992 RTE DES PLATANES LA GRAVETTE 31330 MERVILLE France,NONE,NONE,NONE,NONE,NONE,88,ROUTE DES PLATANES LAGRAVETTE,NONE,31330,MERVILLE,FRANCE,NONE,NONE,NONE,NONE,NONE,1992,ROUTE DES PLATANES LA GRAVETTE,NONE,31330,MERVILLE,FRANCE,PartialMatch
BRUNEEL TRANSPORTS,1 Rue Comte de Bernadotte 56100 LORIENT France,BRUNEEL TRANSPORTS BRUNEEL TRANSPORTS SAS,3 RUE COMTE BERNADOTTE 56100 LORIENT France,NONE,NONE,NONE,NONE,NONE,1,RUE COMTE DE BERNADOTTE,NONE,56100,LORIENT,FRANCE,NONE,NONE,NONE,NONE,NONE,3,RUE COMTE BERNADOTTE,NONE,56100,LORIENT,FRANCE,PartialMatch
GIRONDE SERVI COURSES,Immeuble Aquitaine - rue COPPINGER 33310 LORMONT France," SIVU ""PETITE ENFANCE CENON / LORMONT"" SIGEST MULTI ACCUEILS RAM HTS GIRONDE ",RUE COPPINGER IMMEUBLE VINCENNES 33310 LORMONT France,NONE,IMMEUBLE AQUITAINE,NONE,NONE,NONE,NONE,RUE COPPINGER,NONE,33310,LORMONT,FRANCE,NONE,IMMEUBLE VINCENNES,NONE,NONE,NONE,NONE,RUE COPPINGER,NONE,33310,LORMONT,FRANCE,PartialMatch
TRANSPORTS SOPTRANS,Chemin de la Gazette BP 54 66161 LE BOULOU Cdex France,SOC TRANSPORTS VEHICULES AUTOMOBILES SOC DE TRANSPORTS VEHICULES AUTOMOBILES,CHE DE LA GAZETTE 66160 LE BOULOU France,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN DE LA GAZETTE,BP 54,66161,LE BOULOU,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN DE LA GAZETTE,NONE,66160,LE BOULOU,FRANCE,Match
TRANSALDIS,Rue Charles de Coulomb 77290 MITRY MORY France,TRANSALDIS,RUE CHARLES COULOMB ZI DE MITRY COMPANS 77290 MITRY MORY France,NONE,NONE,NONE,NONE,NONE,NONE,RUE CHARLES DE COULOMB,NONE,77290,MITRY MORY,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE MITRY COMPARC ACTIVITENS,NONE,NONE,RUE CHARLES COULOMB,NONE,77290,MITRY MORY,FRANCE,Match
FLORCZAK TRANSPORTS,ZI en Petre route de Saramon 32200 GIMONT France,TRANSPORTS FLORCZAK 32 FRANCE EXPRESS,RTE DE SARRAMON 32200 GIMONT France,NONE,NONE,NONE,ZONE INDUSTRIELLE EN PETRE,NONE,NONE,ROUTE DE SARAMON,NONE,32200,GIMONT,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE SARRAMON,NONE,32200,GIMONT,FRANCE,Match
GONDRAND FRERES,RUE COMMANDANT COUSTEAU 26800 PORTES LES VALENCE France,SFTGF S.F.T GONDRAND FR\XE8RES,RUE COMMANDANT COUSTEAU LA MOTTE 26800 PORTES LES VALENCE France,NONE,NONE,NONE,NONE,NONE,NONE,RUE COMMANDANT COUSTEAU,NONE,26800,PORTES LES VALENCE,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE COMMANDANT COUSTEAU LA MOTTE,NONE,26800,PORTES LES VALENCE,FRANCE,Match
SOCIETE DES TRANSPORTS GOUT,route de Saint Pons 11120 SAINT MARCEL SUR AUDE France,EXPLOITATION TRANSPORTS GOUT,RTE DE ST PONS 11120 SAINT MARCEL SUR AUDE France,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE SAINT PONS,NONE,11120,SAINT MARCEL SUR AUDE,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE SAINT PONS,NONE,11120,SAINT MARCEL SUR AUDE,FRANCE,Match
TRANSECO,1 rue des pins - ZI de la Bicharderie 45400 FLEURY LES AUBRAIS (Orlans-Nord) France,TRANSECO,5 RUE DES PINS ZA DES BICHARDERIES 45400 FLEURY LES AUBRAIS France,NONE,NONE,NONE,ZONE INDUSTRIELLE DE LA BICHARDERIE,NONE,1,RUE DES PINS,NONE,45400,FLEURY,FRANCE,NONE,NONE,NONE,ZONE ARTISANALE DES BICHARDERIES,NONE,5,RUE DES PINS,NONE,45400,FLEURY,FRANCE,PartialMatch
TOUSSAINT,34 Rue Chemin Vert ZI DU CHEMIN VERT 78610 LE PERRAY EN YVELINES France,TRANSPORT TOUSSAINT TRANSPORTS TOUSSAINT,12 RUE DES PINS ZI DU CHEMIN VERT 78610 LE PERRAY EN YVELINES France,NONE,NONE,NONE,ZONE INDUSTRIELLE DU CHEMIN VERT,NONE,34,RUE CHEMIN VERT,NONE,78610,LE PERRAY EN YVELINES,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DU CHEMIN VERT,NONE,12,RUE DES PINS,NONE,78610,LE PERRAY EN YVELINES,FRANCE,PartialMatch
TRANSPORTS CRANSAC,Puy Laroque 12510 OLEMPS France,TRANSPORTS CRANSAC,LD PUY LAROQUE 12510 OLEMPS France,NONE,NONE,NONE,PUY LAROQUE,NONE,NONE,NONE,NONE,12510,OLEMPS,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT PUY LAROQUE,NONE,12510,OLEMPS,FRANCE,PartialMatch
TRANSPORTS JEAN BOURGET,RTE JARCIEU 38270 BEAUREPAIRE France,TRANSPORTS JEAN BOURGET,RTE DE JARCIEU 38270 BEAUREPAIRE France,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE JARCIEU,NONE,38270,BEAUREPAIRE,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE JARCIEU,NONE,38270,BEAUREPAIRE,FRANCE,Match
RESEAU COURSIERS,10 rue du Danube 44470 THOUARE SUR LOIRE France,COOPERATIVE RESEAU COURSIERS R\XE9SEAU COURSIERS (COOP\XE9RATIVE R\XE9SEAU COURSIERS),5 RUE DU DANUBE 44470 THOUARE SUR LOIRE France,NONE,NONE,NONE,NONE,NONE,10,RUE DU DANUBE,NONE,44470,THOUARE SUR LOIRE,FRANCE,NONE,NONE,NONE,NONE,NONE,5,RUE DU DANUBE,NONE,44470,THOUARE SUR LOIRE,FRANCE,PartialMatch
AHG TRANSPORT,8 rue Touraine 94460 VALENTON France,A.H.G. TRANSPORT A.H.G.TRANSPORT,6 RUE DE TOURAINE ZAC DES ROSEAUX 94460 VALENTON France,NONE,NONE,NONE,NONE,NONE,8,RUE TOURAINE,NONE,94460,VALENTON,FRANCE,NONE,NONE,NONE,ZONE ARTISANALEC DES ROSEAUX,NONE,6,RUE DE TOURAINE,NONE,94460,VALENTON,FRANCE,PartialMatch
LEBLOND,6 ZA de Braux Avenue des Marguerites 08120 BOGNY SUR MEUSE France,TRANSPORTS LEBLOND,8 AV DES MARGUERITES ZA DE BRAUX 08120 BOGNY SUR MEUSE France,NONE,NONE,NONE,ZONE ARTISANALE DE BRAUX,NONE,6,AVENUE DES MARGUERITES,NONE,8120,BOGNY SUR MEUSE,FRANCE,NONE,NONE,NONE,ZONE ARTISANALE DE BRAUX,NONE,8,AVENUE DES MARGUERITES,NONE,8120,BOGNY SUR MEUSE,FRANCE,PartialMatch
TRANSPORTS BROYER NOLIN,Rue de la Libert 08000 LES AYELLES France,DEMENAGEMENTS NOLIN,RUE DE LA LIBERTE 08000 LES AYVELLES France,NONE,NONE,NONE,NONE,NONE,NONE,RUE DE LA LIBERT,NONE,8000,LES AYELLES,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DE LA LIBERTE,NONE,8000,LES AYVELLES,FRANCE,Match
BERNIS CHATEAUROUX,"21, Alle des Maisons Rouges 36008 CHATEAUROUX Cedex France",TRANSPORTS BERNIS,24 ALL DES MAISONS ROUGES 36000 CHATEAUROUX France,NONE,NONE,NONE,NONE,NONE,21,ALLE DES MAISONS ROUGES,NONE,36008,CHATEAUROUX,FRANCE,NONE,NONE,NONE,NONE,NONE,24,ALLEE DES MAISONS ROUGES,NONE,36000,CHATEAUROUX,FRANCE,PartialMatch
TRANSPORTS BOUEIX,Rue Toussaint Catros 33185 LE HAILLAN France,TRANSPORTS BOUEIX SA BOUEIX SAS,RUE TOUSSAINT CATROS 33185 LE HAILLAN France,NONE,NONE,NONE,NONE,NONE,NONE,RUE TOUSSAINT CATROS,NONE,33185,LE HAILLAN,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE TOUSSAINT CATROS,NONE,33185,LE HAILLAN,FRANCE,Match
CENTRE TRANSPORTS,avenue Chaillot 18100 VIERZON France,SN CENTRE TRANSPORTS,AV DE CHAILLOT CENTRE BERRY LOGISTIQUE 18100 VIERZON France,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE CHAILLOT,NONE,18100,VIERZON,FRANCE,NONE,NONE,NONE,CENTRE BERRY LOGISTIQUE,NONE,NONE,AVENUE DE CHAILLO,NONE,18100,VIERZON,FRANCE,Match
PERES SERVICES,Rue des Cteaux 31240 SAINT JEAN France,PERES SERVICES P\XE9R\XE8S-SERVICES,LES COTEAUX 31240 SAINT JEAN France,NONE,NONE,NONE,NONE,NONE,NONE,RUE LES COTEAUX,NONE,31240,SAINT JEAN,FRANCE,NONE,NONE,NONE,LES COTEAUX,NONE,NONE,NONE,NONE,31240,SAINT JEAN,FRANCE,PartialMatch
T H F,RN 73 Chemin du Gondot 39120 ANNOIRE France,THF SARL,RN 73 39120 ANNOIRE France,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE NATIONALE  73 CHEMIN DU GONDOT,NONE,39120,ANNOIRE,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN DU GONDOT ROUTE NATIONALE 73,NONE,39120,ANNOIRE,FRANCE,Match
ROGERS I D S,46 Rue Leugenaser 59140 DUNKERQUE France,ROGERS INTERNATIONAL DISTRIBUTION SCES ROGERS INTERNATIONAL DISTRIBUTIONS SERVICES,33 RUE DU LEUGENAR 59140 DUNKERQUE France,NONE,NONE,NONE,NONE,NONE,46,RUE LEUGENASER,NONE,59140,DUNKERQUE,FRANCE,NONE,NONE,NONE,NONE,NONE,33,RUE DU LEUGENAR,NONE,59140,DUNKERQUE,FRANCE,PartialMatch
EXFRET TRANSPORT BARRE,route ancenis 44330 VALLET France,EXFRET 44,RTE D ANCENIS CENT COMM DES DORICES 44330 VALLET France,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE ANCENIS,NONE,44330,VALLET,FRANCE,NONE,NONE,CENTRE COMM DES DORICES,NONE,NONE,NONE,ROUTE D ANCENIS,NONE,44330,VALLET,FRANCE,Match
JOLIVAL,Rue des Mtiers 49340 NUAILLE France,JOLIVAL FRANCE,ZONE INDUSTRIELLE DE LA CAILLE 49340 NUAILLE France,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES MTIERS,NONE,49340,NUAILLE,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE LA CAILLE,NONE,NONE,NONE,NONE,49340,NUAILLE,FRANCE,PartialMatch
COMPTOIR LANGUEDOCIEN DE TRANSIT ET MANUTENTION,Quai Rpublique 66660 PORT VENDRES France,CLTM PORT VENDRES COMPT. LANGUED TRANSIT MANUT. PORT VENDRES,QUAI DE LA REPUBLIQUE GARE MARITIME 66660 PORT VENDRES France,NONE,NONE,NONE,NONE,NONE,NONE,QUAI  REPUBLIQUE,NONE,66660,PORT VENDRES,FRANCE,NONE,NONE,GARE MARITIME,NONE,NONE,NONE,QUAI  REPUBLIQUE,NONE,66660,PORT VENDRES,FRANCE,Match
SOMATRANS,Boulevard de l Ile aux Oiseaux 76530 GRAND COURONNE France,SOMATRANS,BD L ILE AUX OISEAUX RVSL 76530 GRAND COURONNE France,NONE,NONE,NONE,NONE,NONE,NONE,BOULEVARD DE L ILE AUX OISEAUX,NONE,76530,GRAND COURONNE,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,BOULEVARD L ILE AUX OISEAUX,NONE,76530,GRAND COURONNE,FRANCE,Match
EXPRESS SERVICES,ZAC BELL 24 rue CHARLES BOURSEUL 85000 LA ROCHE SUR YON France,EXPRESS SERVICES,11 RUE CHARLES BOURSEUL 85000 LA ROCHE SUR YON France,NONE,NONE,NONE,ZONE ARTISANALEC BELL,NONE,24,RUE CHARLES BOURSEUL,NONE,85000,LA ROCHE SUR YON,FRANCE,NONE,NONE,NONE,NONE,NONE,11,RUE CHARLES BOURSEUL,NONE,85000,LA ROCHE SUR YON,FRANCE,PartialMatch
ATLANTIQUE MONTAGE MOBILIER,Rue des Coteaux DE GESVRES 44119 Treillieres France,ATLANTIQUE MONTAGE MOBILIER A2M ATLANTIQUE MONTAGE MOBILIER,RUE DES COTEAUX DE GESVRES 44119 TREILLIERES France,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES COTEAUX DE GESVRES,NONE,44119,TREILLIERES,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES COTEAUX DE GESVRES,NONE,44119,TREILLIERES,FRANCE,Match
STOCK LOGISTIC,"ZI Roubaix Est, Rue du Trieu du Quesnoy 59115 LEERS France",STOCK STOCK LOGISTIC,RUE TRIEU DE QUESNOY ZI ROUBAIX EST 59115 LEERS France,NONE,NONE,NONE,ZONE INDUSTRIELLE ROUBAIX EST,NONE,NONE,RUE DU TRIEU DU QUESNOY,NONE,59115,LEERS,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE ROUBAIX EST,NONE,NONE,RUE TRIEU DE QUESNOY,NONE,59115,LEERS,FRANCE,Match
BENNES INTERNATIONALES SERVICES,Hameau de la SALVETAT BP 1 81660 PAYRIN - AUGMONTEL France,BENNES INTER SERVICES,HAMEAU DE LA LA SALVETAT 81660 PAYRIN AUGMONTEL France,NONE,NONE,NONE,NONE,NONE,NONE,HAMEAU DE LA SALVETAT,BP 1,81660,PAYRIN AUGMONTEL,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,HAMEAU DE LA SALVETAT,NONE,81660,PAYRIN AUGMONTEL,FRANCE,Match
PHARMASTOCK,54 Rue du Gros Moulin 45200 AMILLY France,PHARMASTOCK,326 RUE DU GROS MOULIN 45200 AMILLY France,NONE,NONE,NONE,NONE,NONE,54,RUE DU GROS MOULIN,NONE,45200,AMILLY,FRANCE,NONE,NONE,NONE,NONE,NONE,326,RUE DU GROS MOULIN,NONE,45200,AMILLY,FRANCE,PartialMatch
TRANSPORTS AQUITAINE FRANCE,1031 av Georges Clemenceau 33150 CENON France,TRANSPORTS AQUITAINE FRANCE,6 AV GEORGES CLEMENCEAU IMMEUBLE QUERCY 33150 CENON France,NONE,NONE,NONE,NONE,NONE,1031,AVENUE GEORGES CLEMENCEAU,NONE,33150,CENON,FRANCE,NONE,IMMEUBLE QUERCY,NONE,NONE,NONE,6,AVENUE GEORGES CLEMENCEAU,NONE,33150,CENON,FRANCE,PartialMatch
ALBA DEMENAGEMENT 78,88 Rue du Bois Moussay 93240 STAINS France,ALBA DEMENAGEMENTS ALBA D\XE9M\XE9NAGEMENTS INTERNATIONAL,13 RUE DU BOIS MOUSSAY ZAC DU BOIS MOUSSAY 93240 STAINS France,NONE,NONE,NONE,NONE,NONE,88,RUE DU BOIS MOUSSAY,NONE,93240,STAINS,FRANCE,NONE,NONE,NONE,ZONE ARTISANALEC DU BOIS MOUSSAY,NONE,13,RUE DU BOIS MOUSSAY,NONE,93240,STAINS,FRANCE,PartialMatch
MHM SERVICES,ROUTE DE GRENOBLE 05140 ASPRES SUR BUECH France,MHM SERVICES,RTE DE GRENOBLE 05140 ASPRES SUR BUECH France,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE GRENOBLE,NONE,5140,ASPRES SUR BUECH,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE GRENOBLE,NONE,5140,ASPRES SUR BUECH,FRANCE,Match
TRANSPORTS DUPUY,4 rue Mathis 67840 KILSTETT France,TRANSPORTS DUPUY,6 RUE MATHIS 67840 KILSTETT France,NONE,NONE,NONE,NONE,NONE,4,RUE MATHIS,NONE,67840,KILSTETT,FRANCE,NONE,NONE,NONE,NONE,NONE,6,RUE MATHIS,NONE,67840,KILSTETT,FRANCE,PartialMatch
SADT,"42, route d'Herzeele 59470 BAMBECQUE France",SADT STOCKAGE AFFR\XE8TEMENT DISTRIBUTION TRANSPORTS,55 RTE D'HERZEELE 59470 BAMBECQUE France,NONE,NONE,NONE,NONE,NONE,42,ROUTE D'HERZEELE,NONE,59470,BAMBECQUE,FRANCE,NONE,NONE,NONE,NONE,NONE,55,ROUTE D'HERZEELE,NONE,59470,BAMBECQUE,FRANCE,PartialMatch
METZGER ET RICHNER TRANSPORT,Rue des Transitaires BP 17 68303 ST LOUIS CEDEX France,METZGER + RICHNER TRANSPORT,RUE DES TRANSITAIRES PARKING TIR 68300 SAINT LOUIS France,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES TRANSITAIRES,BP 17,68303,SAINT LOUIS,FRANCE,NONE,NONE,PARKING TIR,NONE,NONE,NONE,RUE DES TRANSITAIRES,NONE,68300,SAINT LOUIS,FRANCE,Match
SOCIETE NOUVELLE TRANSDIC,"25, BOULEVARD DES DAMES 13002 MARSEILLE France",SOCIETE NOUVELLE TRANSDIC,13 BD DES DAMES 13002 MARSEILLE 2 France,NONE,NONE,NONE,NONE,NONE,25,BOULEVARD DES DAMES,NONE,13002,MARSEILLE,FRANCE,NONE,NONE,NONE,NONE,NONE,13,BOULEVARD DES DAMES,NONE,13002,MARSEILLE,FRANCE,PartialMatch
GEFCO AGEN,Rue de Strasbourg 33520 BRUGES France,GEFCO FRANCE GEFCO FRANCE SAS,ZI DE BORDEAUX FRET 33520 BRUGES France,NONE,NONE,NONE,NONE,NONE,NONE,RUE DE STRASBOURG,NONE,33520,BRUGES,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE BORDEAUX FRET,NONE,NONE,NONE,NONE,33520,BRUGES,FRANCE,PartialMatch
GEFCO PERIGUEUX,5 Rue de Strasbourg 33520 BRUGES France,GEFCO FRANCE GEFCO FRANCE SAS,3 RUE DE STRASBOURG ZI DE BORDEAUX FRET 33520 BRUGES France,NONE,NONE,NONE,NONE,NONE,5,RUE DE STRASBOURG,NONE,33520,BRUGES,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE BORDEAUX FRET,NONE,3,RUE DE STRASBOURG,NONE,33520,BRUGES,FRANCE,PartialMatch
GEFCO BRUGES,Rue de Strasbourg 33520 BRUGES France,GEFCO FRANCE GEFCO FRANCE SAS,RUE DE STRASBOURG ZI DE BORDEAUX FRET 33520 BRUGES France,NONE,NONE,NONE,NONE,NONE,NONE,RUE DE STRASBOURG,NONE,33520,BRUGES,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE BORDEAUX FRET,NONE,NONE,RUE DE STRASBOURG,NONE,33520,BRUGES,FRANCE,Match
CADDAC ATLANTIQUE SERVICE,26 avenue de la Gare 44480 DONGES France,CADDAC BRETAGNE,44 AV DE LA GARE 44480 DONGES France,NONE,NONE,NONE,NONE,NONE,26,AVENUE DE LA GARE,NONE,44480,DONGES,FRANCE,NONE,NONE,NONE,NONE,NONE,44,AVENUE DE LA GARE,NONE,44480,DONGES,FRANCE,PartialMatch
TRANSPORTS MAZZETTI,14 av. de Rome - ZI les Estroublans 13127 VITROLLES France,PERRENOT VITROLLES TRANSPORTS MAZZETTI,30 AV DE ROME ZI LES ESTROUBLANS 13127 VITROLLES France,NONE,NONE,NONE,ZONE INDUSTRIELLE LES ESTROUBLANS,NONE,14,AVENUE DE ROME,NONE,13127,VITROLLES,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE LES ESTROUBLANS,NONE,30,AVENUE DE ROME,NONE,13127,VITROLLES,FRANCE,PartialMatch
GEFCO BRUGES,Rue de Strasbourg 33520 BRUGES France,GEFCO FRANCE GEFCO FRANCE SAS,RUE DE STRASBOURG ZI DE BORDEAUX FRET 33520 BRUGES France,NONE,NONE,NONE,NONE,NONE,NONE,RUE DE STRASBOURG,NONE,33520,BRUGES,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE BORDEAUX FRET,NONE,NONE,RUE DE STRASBOURG,NONE,33520,BRUGES,FRANCE,Match
DACHSER 65 TARBES,Zi - avenue Valle d'Ossau 64121 SERRES CASTET France,DACHSER FRANCE,AV DE LA VALLEE D OSSAU 64121 SERRES CASTET France,NONE,NONE,NONE,ZONE INDUSTRIELLE,NONE,NONE,AVENUE VALLE D'OSSAU,NONE,64121,SERRES CASTET,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DE LA VALLEE D OSSAU,NONE,64121,SERRES CASTET,FRANCE,Match
DACHSER 64 - GRAVELEAU 64 PAU,Zi - avenue Valle d Ossau 64121 SERRES CASTET France,DACHSER FRANCE,AV DE LA VALLEE D OSSAU ZONE INDUSTRIELLE 64121 SERRES CASTET France,NONE,NONE,NONE,ZONE INDUSTRIELLE,NONE,NONE,AVENUE VALLE D OSSAU,NONE,64121,SERRES CASTET,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE,NONE,NONE,AVENUE DE LA VALLEE D OSSAU,NONE,64121,SERRES CASTET,FRANCE,Match
GEFCO POITIERS,Rue de Strasbourg 33520 BRUGES France,GEFCO FRANCE GEFCO FRANCE SAS,RUE DE STRASBOURG ZI DE BORDEAUX FRET 33520 BRUGES France,NONE,NONE,NONE,NONE,NONE,NONE,RUE DE STRASBOURG,NONE,33520,BRUGES,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE BORDEAUX FRET,NONE,NONE,RUE DE STRASBOURG,NONE,33520,BRUGES,FRANCE,Match
AM TRANS,"Green Parc / Bt C, 149 Avenue du Golf 34670 BAILLARGUES France",AM TRANS,"66 AV DU GOLF DE MASSANE L OREE DES MAS, LE CYPRES 34670 BAILLARGUES France",NONE,BATIMENT C,NONE,GREEN PARC ACTIVITERC,NONE,149,AVENUE DU GOLF,NONE,34670,BAILLARGUES,FRANCE,NONE,NONE,NONE,NONE,NONE,66,AVENUE DU GOLF DE MASSANE CYPRES,NONE,34670,BAILLARGUES,FRANCE,PartialMatch
BERT NIMES,rte Beaucaire 30129 MANDUEL France,BERT NIMES,RTE DE BEAUCAIRE 30129 MANDUEL France,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE BEAUCAIRE,NONE,30129,MANDUEL,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE BEAUCAIRE,NONE,30129,MANDUEL,FRANCE,Match
PUISEAUX TRANSPORTS,RUE CROIX STE ANNE 45390 PUISEAUX France,PUISEAUX TRANSPORTS,RUE DE LA CROIX STE ANNE 45390 PUISEAUX France,NONE,NONE,NONE,NONE,NONE,NONE,RUE CROIX SAINTE ANNE,NONE,45390,PUISEAUX,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DE LA CROIX SAINTE ANNE,NONE,45390,PUISEAUX,FRANCE,Match
TRANSPORTS DU PERTHOIS,ZI Rue du Bois Guillaume BP 18 51300 MAROLLES France,LES TRANSPORTS DU PERTHOIS,RUE DU BOIS GUILLAUME ZONE INDUSTRIELLE 51300 MAROLLES France,NONE,NONE,NONE,ZONE INDUSTRIELLE,NONE,NONE,RUE DU BOIS GUILLAUME,BP 18,51300,MAROLLES,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE,NONE,NONE,RUE DU BOIS GUILLAUME,NONE,51300,MAROLLES,FRANCE,Match
TRANSPORTS LANDREAU,ZI SUD ROUTE DES RELANDIERES 44850 LE CELLIER France,TRANSPORTS LANDREAU,RTE DES RELANDIERES ZI 44850 LE CELLIER France,NONE,NONE,NONE,ZONE INDUSTRIELLE SUD,NONE,NONE,ROUTE DES RELANDIERES,NONE,44850,LE CELLIER,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE,NONE,NONE,ROUTE DES RELANDIERES,NONE,44850,LE CELLIER,FRANCE,Match
TRANSPORTS CHAPON,2 CHEMIN DU PIN 49330 BRISSARTHE France,SARL TRANSPORTS CHAPON,8 CHE DU PIN BRISSARTHE BRISSARTHE 49330 LES HAUTS D'ANJOU France,NONE,NONE,NONE,NONE,NONE,2,CHEMIN DU PIN,NONE,49330,BRISSARTHE,FRANCE,NONE,NONE,NONE,NONE,NONE,8,CHEMIN DU PIN,NONE,49330,BRISSARTHE,FRANCE,PartialMatch
COLIS FAST,Parc d'activit de Reffye rue gnral de Reffye 88000 EPINAL France,COLIS-FAST,RUE GENERAL DE REFFYE COLIS FAST 88000 EPINAL France,NONE,NONE,NONE,PARC ACTIVITERC D'ACTIVIT DE REFFYE,NONE,NONE,RUE GNRAL DE REFFYE,NONE,88000,EPINAL,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE GENERAL DE REFFYE,NONE,88000,EPINAL,FRANCE,Match
CADILLAC,Camp de Jeanne 81600 SENOUILLAC France,S.CADILLAC SARL CADILLAC D\XE9M\XE9NAGEMENTS,LD CAMP DE JEANNE RTE DE RIVIERES 81600 SENOUILLAC France,NONE,NONE,NONE,NONE,NONE,NONE,CAMP DE JEANNE,NONE,81600,SENOUILLAC,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT CAMP DE JEANNE ROUTE DE RIVIERES,NONE,81600,SENOUILLAC,FRANCE,Match
MDC LOGISTICS,9 AVENUE JOSEPH PAXTON 77164 FERRIERES France,MDC LOGISTICS,5 AV JOSEPH PAXTON 77164 FERRIERES EN BRIE France,NONE,NONE,NONE,NONE,NONE,9,AVENUE JOSEPH PAXTON,NONE,77164,FERRIERES,FRANCE,NONE,NONE,NONE,NONE,NONE,5,AVENUE JOSEPH PAXTON,NONE,77164,FERRIERES,FRANCE,PartialMatch
TRANSPORTS MARECHAL,ZI Le Poirier BP 10 28210 NOGENT LE ROI France,TRANSPORT MARECHAL TRANSPORTS MAR\XE9CHAL,LE POIRIER ZONE INDUSTRIELLE 28210 NOGENT LE ROI France,NONE,NONE,NONE,ZONE INDUSTRIELLE LE POIRIER,NONE,NONE,NONE,BP 10,28210,NOGENT,FRANCE,NONE,NONE,NONE,LE POIRIER ZONE INDUSTRIELLE,NONE,NONE,NONE,NONE,28210,NOGENT,FRANCE,Match
PRODICOM,ZA ROCADE NORD 13350 NOVES FRANCE,PRODICOM,ZA ROCADE NORD 13550 NOVES France,NONE,NONE,NONE,ZONE ARTISANALE ROCADE NORD,NONE,NONE,NONE,NONE,13350,NOVES,FRANCE,NONE,NONE,NONE,ZONE ARTISANALE ROCADE NORD,NONE,NONE,NONE,NONE,13550,NOVES,FRANCE,Match
